N,X,Y
188,479811.59008,5004179.19372
189,480938.66305,5003960.60247
190,482361.95851,5004156.20176
191,484100.66112,5004408.0618
192,484662.56344,5003606.88576
193,486287.50997,5003941.43062
194,485555.16632,5002338.76384
195,483198.33792,5002644.62016
196,482098.17254,5002614.8798
197,485180.13695,5000602.88174
198,484701.00147,4997594.0211
199,484290.76458,4998230.74778
200,483178.68964,4999224.13597
201,482285.40135,4997712.17488
202,482168.91865,5000851.86071
203,481108.64796,4998841.20128
204,479883.73641,4999167.53037
205,479778.4871,5000536.92212
206,480874.53182,5000816.35667
207,480732.07646,5002481.10594
208,479498.19451,5002446.27089
209,478465.91863,5004541.77617
210,478687.05217,5003217.16391
211,478706.08473,5000787.45635
212,478395.81302,4999212.5801
213,477341.56091,5000042.63396
214,477932.25542,5000345.85861
215,477701.86643,5001806.99279
216,477637.91832,5003440.19447
217,477347.29701,5004468.05318
218,476360.44034,5004483.85021
219,476221.94208,5003646.00155
220,476288.09125,5002811.23804
221,476169.63968,5001426.17334
222,475495.65634,5002568.21907
223,474780.17256,5004320.13264
224,474029.67355,5003700.15549
225,472837.30741,5004347.723
226,472427.14205,5005270.28132
227,471086.30588,5005345.60026
228,469838.5265,5005363.65385
229,469780.85991,5004599.89298
230,470044.58478,5003657.11842
231,470959.00185,5004280.3622
232,471342.86122,5002939.75919
233,471902.0849,5003384.42363
234,472010.0457,5004089.51935
235,472861.67671,5002991.81233
236,474445.434,5002662.94151
237,474124.02764,5001938.63122
238,473662.10527,5001027.38474
239,475806.33694,5000525.10939
240,476024.62872,4999153.40773
241,477373.43782,4998911.11922
242,477061.13929,4997179.51626
243,477845.34089,4997741.66226
244,478557.71965,4997815.57133
245,479662.2705,4998170.19378
246,479378.3162,4997245.8633
247,480043.99284,4997340.53739
248,481009.02456,4997263.03541
249,482050.1716,4996986.5145
250,481497.41469,4995537.55346
251,480785.32975,4996195.44641
252,479857.48142,4996304.21416
253,480061.05483,4995369.79038
254,478742.741,4995908.57814
255,477964.41182,4995014.14754
256,479011.84169,4993942.20796
257,480049.55929,4994555.8793
258,481446.26106,4994537.19907
259,481503.60403,4993608.16344
260,479978.30684,4993728.60456
261,480120.09207,4992968.39305
262,481376.49402,4992847.63949
263,481420.06349,4992301.29197
264,480009.17572,4992175.06167
265,481409.52073,4991656.8822
266,481394.52742,4990795.49655
267,479989.61258,4991219.86368
268,478977.0457,4991791.18529
269,478330.99291,4991854.88707
270,478111.86564,4989721.4816
271,478726.41743,4989636.06575
272,479088.77779,4989681.93945
273,479882.30475,4989954.71155
274,481294.9959,4989799.61959
275,481264.25306,4988813.25635
276,479894.10026,4988837.62952
277,481354.42012,4987956.43091
278,479897.87352,4987935.63002
279,479089.23193,4988142.76182
280,478681.29005,4988121.09082
281,478119.38164,4987740.56578
282,478868.96099,4987237.6279
283,479909.48588,4987233.07801
284,481317.49224,4987232.76372
285,421766.7854,4979440.54921
286,421733.38105,4975416.96257
287,424960.3067,4976156.36839
288,426421.52439,4980188.59434
289,428217.48594,4976220.99363
290,430795.69898,4975490.71391
291,433182.99301,4975205.03558
292,431362.6224,4978836.80505
293,432322.06393,4980375.61957
294,436217.90855,4980006.16156
295,437362.95326,4978641.48558
296,436837.05036,4975399.43261
297,437369.01784,4971943.05825
298,432557.26477,4972014.15163
299,428860.50114,4970964.25221
300,426239.96773,4971829.80324
301,421748.92363,4971378.81581
302,421946.76016,4968382.44396
303,424980.58951,4968689.63129
304,428092.55007,4968271.39161
305,428166.94561,4964067.21895
306,425155.57683,4964382.16295
307,422017.25578,4964138.40329
308,423852.38854,4960872.35465
309,422909.18705,4959134.25562
310,421207.5881,4954862.34458
311,423614.34353,4955642.96433
312,425987.38381,4952773.87042
313,426057.31107,4955560.21464
314,428356.32478,4955904.32135
315,427455.34063,4958787.89458
316,428919.47242,4959254.19562
317,427442.11851,4960880.66833
318,432282.76945,4964602.34862
319,432391.77476,4967967.61575
320,433132.21424,4970181.07862
321,438146.43059,4969340.37561
322,436538.17114,4967637.6484
323,435928.67552,4966411.61152
324,437087.42593,4966251.20656
325,438608.82137,4966495.653
326,442944.70824,4969192.89701
327,445584.8854,4966949.56219
328,447323.63721,4965388.16895
329,446940.72235,4963284.51799
330,444651.3602,4964831.89408
331,442678.63828,4966944.2273
332,440662.30261,4966519.41741
333,441949.74163,4964643.57727
334,442810.69268,4961745.69764
335,440311.98771,4963830.41916
336,438486.81237,4964067.81963
337,438572.25145,4965561.23643
338,436936.09125,4964259.38009
339,435037.68718,4963770.15683
340,435396.39821,4962285.25846
341,438502.54691,4959560.78353
342,435318.06253,4959460.94148
343,431277.21075,4959559.83537
344,431205.83135,4954710.96153
345,435229.75583,4954696.09394
346,438436.33726,4954436.09922
347,434358.70284,4949428.00442
348,442020.67041,4946774.30902
349,442396.60146,4950256.93567
350,447499.07253,4950428.58715
351,449549.29346,4951401.1541
352,447623.5716,4952910.77825
353,449822.94123,4954938.6673
354,447018.61951,4955172.68004
355,442552.58014,4955049.37873
356,442274.5484,4959377.44773
357,447141.50739,4961004.17699
358,447904.41003,4959133.52029
359,447687.36399,4957535.56331
360,450472.6413,4957300.65837
361,452086.42299,4958803.63081
362,450801.42719,4959626.05927
363,449261.58774,4960830.19771
364,451668.41491,4960870.78806
365,451671.08537,4961970.70361
366,449440.58535,4962533.69558
367,451363.75847,4963406.57775
368,449423.98958,4964830.71328
369,451275.27798,4965862.57081
370,449843.1755,4968000.07902
371,448831.30586,4967541.10266
372,448008.72459,4969129.92585
373,445965.56102,4970235.61768
374,449510.8115,4970609.64115
375,451397.53727,4968593.34301
376,452640.42962,4969810.35999
377,453583.77585,4967174.78146
378,453150.4973,4966235.15871
379,453569.85461,4964330.40025
380,453300.3526,4962273.23598
381,453132.2549,4960874.14882
382,455096.81988,4960732.74566
383,455136.94639,4962389.58062
384,458155.70503,4962642.36268
385,458149.17926,4964934.03439
386,456717.0245,4963770.2274
387,455469.22002,4964607.6806
388,455997.26614,4966666.95647
389,454836.68674,4966780.09889
390,454015.22315,4969292.41558
391,455640.97079,4969290.42006
392,456985.0235,4966493.78616
393,458250.63505,4966740.6533
394,457484.08304,4968947.14999
395,458281.20774,4970035.676
396,490073.19313,4973318.83043
397,491063.28111,4973210.90074
398,491334.70068,4972274.81781
399,490438.0486,4972201.89167
400,489727.79939,4972104.28631
401,488660.43377,4971745.37513
402,487470.29493,4970472.64198
403,489052.21072,4971263.44267
404,488927.60554,4970482.82684
405,490114.54401,4971259.47337
406,491126.09057,4971212.65157
407,490999.0494,4970405.85633
408,489876.92848,4970421.1977
409,485817.94432,4968809.71853
410,487082.06106,4968104.16854
411,487997.12795,4969078.00892
412,489297.11293,4968814.43582
413,490613.95332,4969157.2009
414,490981.30113,4968236.35023
415,492462.3461,4968776.96411
416,491920.50596,4970440.22904
417,492996.99116,4970279.89996
418,493028.93323,4971227.41055
419,492030.07459,4971230.26097
420,492031.45076,4972028.50746
421,493002.98832,4971806.92407
422,493047.17509,4972135.87756
423,493032.50249,4972554.69985
424,492033.19175,4972830.79756
425,493027.03957,4973024.88677
426,493927.81773,4972519.50942
427,494487.4515,4972702.52796
428,495140.36625,4972596.64934
429,495630.29058,4972896.0714
430,496094.07713,4973352.41041
431,496607.03518,4971576.92601
432,496590.43651,4970886.46784
433,495650.73483,4971069.72913
434,495581.19492,4971739.07871
435,495025.92725,4970918.65684
436,494609.82001,4971810.02198
437,494018.42286,4971822.31337
438,494033.12397,4971232.5574
439,494611.1958,4970831.22976
440,494028.28875,4970448.14024
441,494167.80135,4969491.69069
442,494913.46926,4969658.87222
443,495921.37723,4969818.85652
444,497074.99843,4969884.72511
445,497759.34412,4970663.92383
446,498402.37012,4968787.787
447,497242.60293,4968570.56259
448,496219.46501,4968488.73215
449,495513.54064,4968564.48643
450,494512.99045,4968633.07297
451,493980.02071,4967121.62998
452,494953.6082,4967092.40651
453,495463.96195,4966987.85369
454,496040.19281,4967405.72205
455,496091.05554,4966413.21668
456,496879.39459,4966897.60283
457,497583.38567,4967287.36936
458,498207.81814,4966833.58449
459,498775.14285,4966444.52173
460,497517.86012,4965679.63064
461,497467.64853,4964865.31552
462,498183.3254,4962498.79296
463,497313.42028,4963852.72698
464,496240.62517,4963252.56592
465,494766.6764,4964100.81806
466,495939.97981,4964067.61902
467,496171.84955,4965275.80592
468,495473.97021,4965253.70694
469,495027.49397,4965171.93355
470,494009.55781,4965260.31875
471,492786.85757,4967090.94101
472,490941.06986,4966794.96549
473,489272.50317,4967231.10143
474,488907.58251,4966491.53058
475,487546.00274,4966900.63999
476,486303.52474,4966776.17771
477,484781.78576,4966247.46531
478,483260.71202,4963985.91352
479,484282.6568,4963229.32446
480,485637.66145,4963745.03264
481,485994.85245,4965219.73803
482,487155.55362,4965380.99059
483,487910.37807,4965365.67503
484,487884.1132,4964726.34339
485,489062.33313,4964766.19613
486,488586.06106,4965550.39123
487,489269.69541,4965538.6028
488,490115.72817,4965133.20325
489,491170.11124,4965132.46443
490,491492.31341,4965781.58796
491,492783.49615,4965328.24882
492,492798.28871,4963596.97412
493,492058.44334,4963341.67936
494,491460.17621,4964078.59006
495,490688.23881,4963597.45787
496,489261.36644,4963630.58009
497,487884.5811,4964066.63145
498,487121.09508,4964085.36193
499,486439.22535,4962749.92198
500,487528.72555,4963289.76306
501,487618.59125,4962050.62866
502,487731.22824,4960840.66695
503,487636.79764,4960062.242
504,489441.12912,4959945.56458
505,489666.39875,4960749.6928
506,489256.56461,4962158.91065
507,490229.76822,4961718.32116
508,490806.52493,4962585.43419
509,491395.42845,4961954.28847
510,491039.64637,4960448.02845
511,492842.01254,4960686.42654
512,492422.85357,4962191.7799
