A,B
1511,7893
1512,7916
1512,31147
1513,40613
1514,31066
1515,7993
1515,31076
1516,7993
1517,8041
1518,8209
1518,19967
1519,8192
1519,30738
1520,54483
1521,8085
1522,54481
1523,7503
1524,31061
1525,31063
1526,31037
1527,40563
1528,40563
1529,40564
1530,7531
1531,7529
1532,7129
1533,55395
1534,30266
1534,30273
1535,6299
1535,6489
1536,6252
1537,40669
1538,6807
1539,30836
1539,30841
1540,7221
1540,40106
1541,7352
1541,30783
1542,31044
1543,7114
1543,30850
1544,6804
1544,6958
1545,6605
1545,30842
1546,6310
1547,6190
1547,6315
1548,6315
1548,6493
1549,30838
1550,7224
1550,30863
1551,7224
1551,7302
1552,6965
1552,30837
1553,6613
1553,30846
1554,6190
1555,40569
1556,40568
1557,40567
1558,40565
1559,7278
1560,40566
1561,30906
1562,40570
1563,40571
1564,6168
1565,30785
1566,30876
1566,30878
1567,30870
1567,30871
1568,30901
1568,30906
1569,40562
1570,40561
1571,30918
1572,30871
1572,30914
1573,30878
1573,30889
1574,40560
1575,6514
1575,30880
1576,6628
1576,30874
1577,30918
1578,31052
1579,7308
1580,6821
1580,6980
1581,30883
1582,6343
1583,5968
1584,5821
1584,5874
1585,5775
1585,19542
1586,27436
1587,5570
1587,5626
1588,5713
1588,19906
1588,27468
1589,5878
1589,30821
1590,5968
1590,40572
1591,5943
1592,5820
1592,40572
1593,5734
1594,5570
1595,5595
1595,52640
1596,5752
1597,5820
1598,5943
1599,40574
1600,5768
1601,5556
1602,5716
1602,5764
1603,40573
1604,30806
1605,30806
1606,5648
1606,5764
1607,5556
1607,5593
1608,5301
1608,40673
1609,40671
1610,5778
1610,5860
1611,5974
1611,30807
1611,30811
1612,19356
1613,40670
1614,40671
1615,5297
1615,40674
1616,5539
1617,30218
1618,5979
1618,40670
1619,5979
1620,30216
1621,5571
1622,26909
1622,26922
1623,26906
1624,40676
1625,40675
1626,40677
1627,4893
1627,40581
1628,4893
1628,26084
1628,40582
1629,4780
1630,26725
1631,4922
1631,19371
1631,19372
1632,40582
1633,26895
1634,17786
1635,5218
1636,40599
1637,40226
1638,40577
1639,4505
1639,27350
1640,4453
1640,40576
1641,4357
1642,4264
1643,4289
1644,26927
1644,40665
1645,26927
1645,54874
1646,26975
1647,27115
1647,27128
1648,27111
1648,27114
1649,27124
1649,40663
1650,27052
1650,27110
1651,27074
1651,27111
1651,40662
1652,27055
1652,27083
1653,27069
1654,3695
1655,3742
1655,27057
1656,27058
1657,27060
1658,3771
1658,54861
1659,27117
1660,27123
1661,4139
1661,40664
1662,40665
1663,54839
1664,27329
1665,4464
1666,4374
1667,40105
1667,52884
1668,4374
1668,27325
1669,4186
1669,27326
1670,40579
1671,54839
1672,54848
1673,40578
1673,54848
1674,19987
1675,27034
1676,27034
1677,3771
1677,27035
1678,27035
1679,27042
1680,27042
1681,27091
1682,27092
1683,27094
1684,4186
1684,26969
1685,26080
1686,26642
1686,53017
1687,27050
1688,26667
1689,26642
1690,26075
1690,26770
1691,40580
1692,18895
1692,34536
1693,34504
1693,34537
1694,34380
1694,34504
1695,18824
1696,18826
1696,34757
1697,34750
1697,34752
1698,40519
1699,34750
1700,40513
1701,34380
1702,7943
1703,40512
1704,7943
1705,34534
1706,8061
1706,34534
1707,34540
1708,8450
1709,32188
1710,32247
1710,32254
1710,40518
1711,32188
1711,32247
1712,32242
1713,8370
1714,25186
1715,7953
1716,31552
1717,31556
1717,40514
1718,31600
1718,40514
1719,31592
1720,31606
1721,7874
1722,31560
1723,40522
1724,19108
1724,19114
1725,8267
1725,31584
1726,31589
1726,40521
1727,8264
1728,31589
1729,19875
1730,8264
1730,40520
1731,8267
1732,32203
1732,54379
1733,32197
1734,32214
1735,40529
1736,32202
1737,30739
1738,32187
1739,8907
1739,40530
1740,8907
1740,8964
1741,8964
1742,32395
1743,18445
1743,18844
1743,32074
1743,32398
1744,9141
1744,18853
1745,8956
1745,9063
1746,9063
1746,32251
1746,32259
1747,32066
1748,32417
1749,32080
1749,32261
1750,9139
1750,18840
1750,18841
1751,40519
1752,34767
1753,9168
1754,9168
1754,34736
1755,34801
1756,34805
1756,34818
1756,34829
1757,32420
1757,34807
1758,25252
1758,34827
1759,32417
1759,32434
1760,32390
1761,32394
1761,32412
1762,32387
1763,32433
1764,32390
1764,40460
1765,29827
1765,32434
1765,33293
1766,29827
1766,29885
1766,32440
1767,40457
1768,34826
1768,34843
1768,40456
1769,19781
1769,40456
1770,35286
1770,35291
1771,35286
1772,40458
1773,54566
1774,40459
1775,40464
1776,40458
1777,35283
1777,35289
1778,35291
1778,35293
1779,10254
1779,35283
1780,10254
1780,40461
1781,10050
1782,10050
1782,33295
1783,40461
1784,40463
1785,40462
1786,10459
1786,10500
1787,10463
1787,33480
1788,10432
1788,33107
1789,10459
1790,33338
1790,33339
1791,33263
1791,33339
1792,33317
1792,33340
1793,10295
1793,33340
1794,33274
1794,33294
1795,33272
1795,33274
1795,33287
1796,33265
1797,33264
1797,33287
1797,33324
