trip_id,headway_secs
14454679-MAR19-MVS-BUS-Weekday-01,1350
14454812-MAR19-MVS-BUS-Weekday-01,2160
14454821-MAR19-MVS-BUS-Weekday-01,1800
14454825-MAR19-MVS-BUS-Weekday-01,1800
14454855-MAR19-MVS-BUS-Weekday-01,1800
14454860-MAR19-MVS-BUS-Weekday-01,1800
14454921-MAR19-MVS-BUS-Weekday-01,2700
14454924-MAR19-MVS-BUS-Weekday-01,2700
14454936-MAR19-MVS-BUS-Weekday-01,1542
14454937-MAR19-MVS-BUS-Weekday-01,1800
14455077-MAR19-MVS-BUS-Weekday-01,900
14455078-MAR19-MVS-BUS-Weekday-01,900
14455105-MAR19-MVS-BUS-Weekday-01,900
14455110-MAR19-MVS-BUS-Weekday-01,900
14455248-MAR19-MVS-BUS-Weekday-01,1200
14455254-MAR19-MVS-BUS-Weekday-01,5400
14455259-MAR19-MVS-BUS-Weekday-01,5400
14455286-MAR19-MVS-BUS-Weekday-01,3600
14455298-MAR19-MVS-BUS-Weekday-01,1800
14455309-MAR19-MVS-BUS-Weekday-01,3600
14455318-MAR19-MVS-BUS-Weekday-01,3600
14455321-MAR19-MVS-BUS-Weekday-01,3600
14455331-MAR19-MVS-BUS-Weekday-01,3600
14455334-MAR19-MVS-BUS-Weekday-01,3600
14455346-MAR19-MVS-BUS-Weekday-01,3600
14455353-MAR19-MVS-BUS-Weekday-01,5400
14455357-MAR19-MVS-BUS-Weekday-01,5400
14455362-MAR19-MVS-BUS-Weekday-01,3600
14455365-MAR19-MVS-BUS-Weekday-01,3600
14455376-MAR19-MVS-BUS-Weekday-01,2700
14455380-MAR19-MVS-BUS-Weekday-01,3600
14455395-MAR19-MVS-BUS-Weekday-01,3600
14455398-MAR19-MVS-BUS-Weekday-01,1350
14455405-MAR19-MVS-BUS-Weekday-01,21600
14455416-MAR19-MVS-BUS-Weekday-01,2700
14455419-MAR19-MVS-BUS-Weekday-01,1800
14455433-MAR19-MVS-BUS-Weekday-01,2700
14455436-MAR19-MVS-BUS-Weekday-01,1800
14455474-MAR19-MVS-BUS-Weekday-01,3600
14455475-MAR19-MVS-BUS-Weekday-01,3600
14455480-MAR19-MVS-BUS-Weekday-01,3600
14455481-MAR19-MVS-BUS-Weekday-01,3600
14455499-MAR19-MVS-BUS-Weekday-01,1080
14455534-MAR19-MVS-BUS-Weekday-01,3600
14455538-MAR19-MVS-BUS-Weekday-01,3600
14455541-MAR19-MVS-BUS-Weekday-01,5400
14455546-MAR19-MVS-BUS-Weekday-01,3600
14455568-MAR19-MVS-BUS-Weekday-01,2160
14455569-MAR19-MVS-BUS-Weekday-01,2160
14455571-MAR19-MVS-BUS-Weekday-01,1800
14455572-MAR19-MVS-BUS-Weekday-01,1800
14455627-MAR19-MVS-BUS-Weekday-01,5400
14455637-MAR19-MVS-BUS-Weekday-01,3600
14455640-MAR19-MVS-BUS-Weekday-01,1800
14455662-MAR19-MVS-BUS-Weekday-01,1542
14455673-MAR19-MVS-BUS-Weekday-01,2160
14455674-MAR19-MVS-BUS-Weekday-01,2700
14455677-MAR19-MVS-BUS-Weekday-01,3085
14455678-MAR19-MVS-BUS-Weekday-01,3085
14483480-MAR19-MVS-BUS-Weekday-01,5400
14483482-MAR19-MVS-BUS-Weekday-01,4320
14483489-MAR19-MVS-BUS-Weekday-01,5400
14483491-MAR19-MVS-BUS-Weekday-01,3600
14483504-MAR19-MVS-BUS-Weekday-01,2700
14483510-MAR19-MVS-BUS-Weekday-01,1800
14483530-MAR19-MVS-BUS-Weekday-01,1800
14483548-MAR19-MVS-BUS-Weekday-01,2160
14485920-MAR19-MVS-BUS-Weekday-01,771
14485934-MAR19-MVS-BUS-Weekday-01,1080
14486045-MAR19-MVS-BUS-Weekday-01,720
14486423-MAR19-MVS-BUS-Weekday-01,1200
14486425-MAR19-MVS-BUS-Weekday-01,1800
14486455-MAR19-MVS-BUS-Weekday-01,1350
14486464-MAR19-MVS-BUS-Weekday-01,1800
14486945-MAR19-MVS-BUS-Weekday-01,2160
14486946-MAR19-MVS-BUS-Weekday-01,5400
14486964-MAR19-MVS-BUS-Weekday-01,5400
14487024-MAR19-MVS-BUS-Weekday-01,771
14487038-MAR19-MVS-BUS-Weekday-01,1028
14487075-MAR19-MVS-BUS-Weekday-01,830
14487082-MAR19-MVS-BUS-Weekday-01,1200
14487505-MAR19-MVS-BUS-Weekday-01,2160
14487510-MAR19-MVS-BUS-Weekday-01,1800
14487533-MAR19-MVS-BUS-Weekday-01,1800
14487539-MAR19-MVS-BUS-Weekday-01,1800
14488589-MAR19-MVS-BUS-Weekday-01,2700
14489196-MAR19-MVS-BUS-Weekday-01,450
14489212-MAR19-MVS-BUS-Weekday-01,526
14489318-MAR19-MVS-BUS-Weekday-01,568
14489319-MAR19-MVS-BUS-Weekday-01,469
14489435-MAR19-MVS-BUS-Weekday-01,5400
14490288-MAR19-MVS-BUS-Weekday-01,1800
14490289-MAR19-MVS-BUS-Weekday-01,1800
14490325-MAR19-MVS-BUS-Weekday-01,1542
14490330-MAR19-MVS-BUS-Weekday-01,1800
14494930-MAR19-MVS-BUS-Weekday-01,1200
14494943-MAR19-MVS-BUS-Weekday-01,2160
14495494-MAR19-MVS-BUS-Weekday-01,1542
14495546-MAR19-MVS-BUS-Weekday-01,2160
14495560-MAR19-MVS-BUS-Weekday-01,2160
14495574-MAR19-MVS-BUS-Weekday-01,830
14495602-MAR19-MVS-BUS-Weekday-01,21600
14495604-MAR19-MVS-BUS-Weekday-01,21600
14495905-MAR19-MVS-BUS-Weekday-01,2160
14495918-MAR19-MVS-BUS-Weekday-01,2160
14496098-MAR19-MVS-BUS-Weekday-01,635
14496100-MAR19-MVS-BUS-Weekday-01,583
14496156-MAR19-MVS-BUS-Weekday-01,514
14496161-MAR19-MVS-BUS-Weekday-01,600
14496530-MAR19-MVS-BUS-Weekday-01,900
14496578-MAR19-MVS-BUS-Weekday-01,830
14496586-MAR19-MVS-BUS-Weekday-01,900
14496624-MAR19-MVS-BUS-Weekday-01,900
14496880-MAR19-MVS-BUS-Weekday-01,3600
14496894-MAR19-MVS-BUS-Weekday-01,1542
14496899-MAR19-MVS-BUS-Weekday-01,1800
14496906-MAR19-MVS-BUS-Weekday-01,3600
14496964-MAR19-MVS-BUS-Weekday-01,1542
14496976-MAR19-MVS-BUS-Weekday-01,5400
14496989-MAR19-MVS-BUS-Weekday-01,1350
14496991-MAR19-MVS-BUS-Weekday-01,1800
14497026-MAR19-MVS-BUS-Weekday-01,1800
14497037-MAR19-MVS-BUS-Weekday-01,1800
14497081-MAR19-MVS-BUS-Weekday-01,1542
