"n","x","y","geometrysou","centroid","external"
306,425155.57683,4964382.16295,1,1,0
307,422017.25578,4964138.40329,1,1,0
308,423852.38854,4960872.35465,1,1,0
309,422909.18705,4959134.25562,1,1,0
310,421207.5881,4954862.34458,1,1,0
311,423614.34353,4955642.96433,1,1,0
312,425987.38381,4952773.87042,1,1,0
313,426057.31107,4955560.21464,1,1,0
314,428356.32478,4955904.32135,1,1,0
315,427455.34063,4958787.89458,1,1,0
316,428919.47242,4959254.19562,1,1,0
317,427442.11851,4960880.66833,1,1,0
318,432282.76945,4964602.34862,1,1,0
319,432391.77476,4967967.61575,1,1,0
320,433132.21424,4970181.07862,1,1,0
321,438146.43059,4969340.37561,1,1,0
322,436538.17114,4967637.6484,1,1,0
323,435928.67552,4966411.61152,1,1,0
324,437087.42593,4966251.20656,1,1,0
325,438608.82137,4966495.653,1,1,0
326,442944.70824,4969192.89701,1,1,0
327,445584.8854,4966949.56219,1,1,0
328,447323.63721,4965388.16895,1,1,0
329,446940.72235,4963284.51799,1,1,0
330,444651.3602,4964831.89408,1,1,0
331,442678.63828,4966944.2273,1,1,0
332,440662.30261,4966519.41741,1,1,0
333,441949.74163,4964643.57727,1,1,0
334,442810.69268,4961745.69764,1,1,0
335,440311.98771,4963830.41916,1,1,0
336,438486.81237,4964067.81963,1,1,0
337,438572.25145,4965561.23643,1,1,0
338,436936.09125,4964259.38009,1,1,0
339,435037.68718,4963770.15683,1,1,0
340,435396.39821,4962285.25846,1,1,0
341,438502.54691,4959560.78353,1,1,0
342,435318.06253,4959460.94148,1,1,0
343,431277.21075,4959559.83537,1,1,0
344,431205.83135,4954710.96153,1,1,0
345,435229.75583,4954696.09394,1,1,0
346,438436.33726,4954436.09922,1,1,0
347,434358.70284,4949428.00442,1,1,0
348,442020.67041,4946774.30902,1,1,0
349,442396.60146,4950256.93567,1,1,0
350,447499.07253,4950428.58715,1,1,0
351,449549.29346,4951401.1541,1,1,0
352,447623.5716,4952910.77825,1,1,0
353,449822.94123,4954938.6673,1,1,0
354,447018.61951,4955172.68004,1,1,0
355,442552.58014,4955049.37873,1,1,0
356,442274.5484,4959377.44773,1,1,0
357,447141.50739,4961004.17699,1,1,0
358,447904.41003,4959133.52029,1,1,0
359,447687.36399,4957535.56331,1,1,0
360,450472.6413,4957300.65837,1,1,0
361,452086.42299,4958803.63081,1,1,0
362,450801.42719,4959626.05927,1,1,0
363,449261.58774,4960830.19771,1,1,0
364,451668.41491,4960870.78806,1,1,0
365,451671.08537,4961970.70361,1,1,0
366,449440.58535,4962533.69558,1,1,0
367,451363.75847,4963406.57775,1,1,0
368,449423.98958,4964830.71328,1,1,0
369,451275.27798,4965862.57081,1,1,0
370,449843.1755,4968000.07902,1,1,0
371,448831.30586,4967541.10266,1,1,0
372,448008.72459,4969129.92585,1,1,0
373,445965.56102,4970235.61768,1,1,0
374,449510.8115,4970609.64115,1,1,0
375,451397.53727,4968593.34301,1,1,0
376,452640.42962,4969810.35999,1,1,0
377,453583.77585,4967174.78146,1,1,0
378,453150.4973,4966235.15871,1,1,0
379,453569.85461,4964330.40025,1,1,0
380,453300.3526,4962273.23598,1,1,0
381,453132.2549,4960874.14882,1,1,0
382,455096.81988,4960732.74566,1,1,0
383,455136.94639,4962389.58062,1,1,0
384,458155.70503,4962642.36268,1,1,0
385,458149.17926,4964934.03439,1,1,0
386,456717.0245,4963770.2274,1,1,0
387,455469.22002,4964607.6806,1,1,0
388,455997.26614,4966666.95647,1,1,0
389,454836.68674,4966780.09889,1,1,0
390,454015.22315,4969292.41558,1,1,0
391,455640.97079,4969290.42006,1,1,0
392,456985.0235,4966493.78616,1,1,0
393,458250.63505,4966740.6533,1,1,0
394,457484.08304,4968947.14999,1,1,0
395,458281.20774,4970035.676,1,1,0
396,490073.19313,4973318.83043,1,1,0
397,491063.28111,4973210.90074,1,1,0
398,491334.70068,4972274.81781,1,1,0
399,490438.0486,4972201.89167,1,1,0
400,489727.79939,4972104.28631,1,1,0
401,488660.43377,4971745.37513,1,1,0
402,487470.29493,4970472.64198,1,1,0
403,489052.21072,4971263.44267,1,1,0
404,488927.60554,4970482.82684,1,1,0
405,490114.54401,4971259.47337,1,1,0
406,491126.09057,4971212.65157,1,1,0
407,490999.0494,4970405.85633,1,1,0
408,489876.92848,4970421.1977,1,1,0
409,485817.94432,4968809.71853,1,1,0
410,487082.06106,4968104.16854,1,1,0
411,487997.12795,4969078.00892,1,1,0
412,489297.11293,4968814.43582,1,1,0
413,490613.95332,4969157.2009,1,1,0
414,490981.30113,4968236.35023,1,1,0
415,492462.3461,4968776.96411,1,1,0
416,491920.50596,4970440.22904,1,1,0
417,492996.99116,4970279.89996,1,1,0
418,493028.93323,4971227.41055,1,1,0
419,492030.07459,4971230.26097,1,1,0
420,492031.45076,4972028.50746,1,1,0
421,493002.98832,4971806.92407,1,1,0
422,493047.17509,4972135.87756,1,1,0
423,493032.50249,4972554.69985,1,1,0
424,492033.19175,4972830.79756,1,1,0
425,493027.03957,4973024.88677,1,1,0
426,493927.81773,4972519.50942,1,1,0
427,494487.4515,4972702.52796,1,1,0
428,495140.36625,4972596.64934,1,1,0
429,495630.29058,4972896.0714,1,1,0
430,496094.07713,4973352.41041,1,1,0
431,496607.03518,4971576.92601,1,1,0
432,496590.43651,4970886.46784,1,1,0
433,495650.73483,4971069.72913,1,1,0
434,495581.19492,4971739.07871,1,1,0
435,495025.92725,4970918.65684,1,1,0
436,494609.82001,4971810.02198,1,1,0
437,494018.42286,4971822.31337,1,1,0
438,494033.12397,4971232.5574,1,1,0
439,494611.1958,4970831.22976,1,1,0
440,494028.28875,4970448.14024,1,1,0
441,494167.80135,4969491.69069,1,1,0
442,494913.46926,4969658.87222,1,1,0
443,495921.37723,4969818.85652,1,1,0
444,497074.99843,4969884.72511,1,1,0
445,497759.34412,4970663.92383,1,1,0
446,498402.37012,4968787.787,1,1,0
447,497242.60293,4968570.56259,1,1,0
448,496219.46501,4968488.73215,1,1,0
449,495513.54064,4968564.48643,1,1,0
450,494512.99045,4968633.07297,1,1,0
451,493980.02071,4967121.62998,1,1,0
452,494953.6082,4967092.40651,1,1,0
453,495463.96195,4966987.85369,1,1,0
454,496040.19281,4967405.72205,1,1,0
455,496091.05554,4966413.21668,1,1,0
456,496879.39459,4966897.60283,1,1,0
457,497583.38567,4967287.36936,1,1,0
458,498207.81814,4966833.58449,1,1,0
459,498775.14285,4966444.52173,1,1,0
460,497517.86012,4965679.63064,1,1,0
461,497467.64853,4964865.31552,1,1,0
462,498183.3254,4962498.79296,1,1,0
463,497313.42028,4963852.72698,1,1,0
464,496240.62517,4963252.56592,1,1,0
465,494766.6764,4964100.81806,1,1,0
466,495939.97981,4964067.61902,1,1,0
467,496171.84955,4965275.80592,1,1,0
468,495473.97021,4965253.70694,1,1,0
469,495027.49397,4965171.93355,1,1,0
470,494009.55781,4965260.31875,1,1,0
471,492786.85757,4967090.94101,1,1,0
472,490941.06986,4966794.96549,1,1,0
473,489272.50317,4967231.10143,1,1,0
474,488907.58251,4966491.53058,1,1,0
475,487546.00274,4966900.63999,1,1,0
476,486303.52474,4966776.17771,1,1,0
477,484781.78576,4966247.46531,1,1,0
478,483260.71202,4963985.91352,1,1,0
479,484282.6568,4963229.32446,1,1,0
480,485637.66145,4963745.03264,1,1,0
481,485994.85245,4965219.73803,1,1,0
482,487155.55362,4965380.99059,1,1,0
483,487910.37807,4965365.67503,1,1,0
484,487884.1132,4964726.34339,1,1,0
485,489062.33313,4964766.19613,1,1,0
486,488586.06106,4965550.39123,1,1,0
487,489269.69541,4965538.6028,1,1,0
488,490115.72817,4965133.20325,1,1,0
489,491170.11124,4965132.46443,1,1,0
490,491492.31341,4965781.58796,1,1,0
491,492783.49615,4965328.24882,1,1,0
492,492798.28871,4963596.97412,1,1,0
493,492058.44334,4963341.67936,1,1,0
494,491460.17621,4964078.59006,1,1,0
495,490688.23881,4963597.45787,1,1,0
496,489261.36644,4963630.58009,1,1,0
497,487884.5811,4964066.63145,1,1,0
498,487121.09508,4964085.36193,1,1,0
499,486439.22535,4962749.92198,1,1,0
500,487528.72555,4963289.76306,1,1,0
501,487618.59125,4962050.62866,1,1,0
502,487731.22824,4960840.66695,1,1,0
503,487636.79764,4960062.242,1,1,0
504,489441.12912,4959945.56458,1,1,0
505,489666.39875,4960749.6928,1,1,0
506,489256.56461,4962158.91065,1,1,0
507,490229.76822,4961718.32116,1,1,0
508,490806.52493,4962585.43419,1,1,0
509,491395.42845,4961954.28847,1,1,0
510,491039.64637,4960448.02845,1,1,0
511,492842.01254,4960686.42654,1,1,0
512,492422.85357,4962191.7799,1,1,0
513,494336.14742,4962459.12331,1,1,0
514,495933.45243,4960393.97959,1,1,0
515,493250.64207,4958808.79978,1,1,0
516,491263.77899,4958671.14792,1,1,0
517,490112.75788,4958897.94167,1,1,0
518,488001.94696,4958861.85288,1,1,0
519,488692.3725,4957629.026,1,1,0
520,485923.58715,4957480.02094,1,1,0
521,485985.18173,4958849.61741,1,1,0
522,486396.3989,4960442.68151,1,1,0
523,485977.82707,4961621.31355,1,1,0
524,485648.41658,4960428.12294,1,1,0
525,484854.75398,4960345.08607,1,1,0
526,484592.72857,4958796.14301,1,1,0
527,484390.12598,4957240.8732,1,1,0
