"","a","b"
"1294",882,26945
"1295",883,18655
"1296",884,3849
"1297",884,3915
"1298",885,3915
"1299",886,3962
"1300",887,27175
"1301",888,27175
"1302",889,40733
"1303",890,40733
"1304",891,3783
"1305",892,3849
"1306",893,27166
"1307",894,40747
"1308",895,40746
"1309",896,27282
"1310",897,40732
"1311",898,25132
"1312",899,25132
"1313",899,25230
"1314",899,26445
"1315",900,26451
"1316",901,26425
"1317",902,40738
"1318",903,26425
"1319",903,40738
"1320",904,26361
"1321",905,26350
"1322",905,26352
"1323",906,26354
"1324",907,40739
"1325",908,26421
"1326",908,40737
"1327",909,40737
"1328",910,26426
"1329",911,26441
"1330",911,26442
"1331",912,26092
"1332",913,26450
"1333",913,27211
"1334",914,27211
"1335",914,27212
"1336",915,27217
"1337",916,27213
"1338",917,27201
"1339",918,26428
"1340",918,54674
"1341",919,40652
"1342",920,26428
"1343",921,40644
"1344",922,26056
"1345",922,40237
"1346",923,27189
"1347",924,40238
"1348",924,40239
"1349",925,27200
"1350",926,27187
"1351",927,40239
"1352",928,3524
"1353",928,40645
"1354",929,27196
"1355",930,3524
"1356",930,26433
"1357",930,26930
"1358",931,26429
"1359",932,40646
"1360",933,40647
"1361",934,26414
"1362",934,40653
"1363",935,40653
"1364",936,40650
"1365",937,26346
"1366",937,40651
"1367",938,26325
"1368",938,40739
"1369",939,40656
"1370",939,54691
"1371",940,40655
"1372",940,40656
"1373",941,3329
"1374",941,40649
"1375",942,40654
"1376",942,40655
"1377",943,40654
"1378",944,40658
"1379",945,40659
"1380",946,40657
"1381",947,40660
"1382",948,26365
"1383",949,26270
"1384",950,3346
"1385",951,3346
"1386",952,40648
"1387",953,19389
"1388",954,26090
"1389",955,3523
"1390",956,3456
"1391",957,3418
"1392",958,26401
"1393",959,26368
"1394",960,26372
"1395",961,3462
"1396",962,26054
"1397",963,3529
"1398",963,3545
"1399",964,26979
"1400",965,26983
"1401",966,3724
"1402",966,26983
"1403",967,3752
"1404",967,26985
"1405",967,27033
"1406",968,3604
"1407",968,27033
"1408",969,3648
"1409",970,3713
"1410",971,3650
"1411",972,40736
"1412",973,40735
"1413",974,27233
"1414",975,27167
"1415",976,26935
"1416",977,3713
"1417",977,3758
"1418",978,3758
"1419",978,3811
"1420",979,27139
"1421",980,3804
"1422",980,27139
"1423",981,3804
"1424",981,27155
"1425",982,3724
"1426",983,27142
"1427",984,26987
"1428",984,27142
"1429",985,3878
"1430",985,26987
"1431",985,26988
"1432",986,4010
"1433",986,27156
"1434",986,27300
"1435",987,3878
"1436",987,27154
"1437",987,27155
"1438",988,4010
"1439",988,27154
"1440",989,27159
"1441",990,26946
"1442",991,27159
"1443",991,27161
"1444",992,3811
"1445",993,26977
"1446",994,27251
"1447",995,26943
"1448",995,27250
"1449",995,27255
"1450",996,27260
"1451",997,3950
"1452",998,27228
"1453",999,27221
"1454",1000,27221
"1455",1001,3763
"1456",1002,3763
"1457",1003,3738
"1458",1003,27169
"1459",1004,18662
"1460",1005,3782
"1461",1006,3782
"1462",1007,27164
"1463",1007,27285
"1464",1008,27178
"1465",1009,27173
"1466",1010,3805
"1467",1011,3846
"1468",1012,3893
"1469",1013,3954
"1470",1014,4068
"1471",1015,40635
"1472",1016,4172
"1473",1016,40634
"1474",1017,40636
"1475",1018,4205
"1476",1018,27369
"1477",1019,4097
"1478",1019,4278
"1479",1020,4214
"1480",1020,40666
"1481",1021,4214
"1482",1022,17682
"1483",1023,19407
"1484",1024,27371
"1485",1025,19407
"1486",1025,27398
"1487",1026,4306
"1488",1027,27424
"1489",1028,27427
"1490",1029,4553
"1491",1030,4465
"1492",1030,27420
"1493",1031,27423
"1494",1032,27369
"1495",1033,27380
"1496",1034,4439
"1497",1034,27419
"1498",1035,27419
"1499",1036,4439
"1500",1037,40632
"1501",1038,27368
"1502",1039,4172
"1503",1039,27368
"1504",1039,40631
"1505",1040,27433
"1506",1040,27661
"1507",1041,27659
"1508",1041,40637
"1509",1042,4221
"1510",1043,27275
"1511",1044,4072
"1512",1044,26941
"1513",1045,40734
"1514",1046,40734
"1515",1047,4072
"1516",1047,4223
"1517",1047,4241
"1518",1048,4223
"1519",1048,4335
"1520",1049,4335
"1521",1049,4432
"1522",1050,40689
"1523",1051,27639
"1524",1052,4438
"1525",1052,4459
"1526",1053,4137
"1527",1053,4241
"1528",1053,4257
"1529",1054,17582
"1530",1055,17582
"1531",1055,27621
"1532",1056,4345
"1533",1056,27621
"1534",1057,4345
"1535",1057,27728
"1536",1058,4337
"1537",1058,27729
"1538",1059,4217
"1539",1059,4337
"1540",1060,4217
"1541",1060,27707
"1542",1061,27706
"1543",1061,27717
"1544",1062,27711
"1545",1062,27716
"1546",1063,4171
"1547",1064,4185
"1548",1064,4254
"1549",1064,4266
"1550",1065,4354
"1551",1065,27741
"1552",1066,40627
"1553",1067,4181
"1554",1068,11485
"1555",1069,18766
"1556",1069,27720
"1557",1070,25152
"1558",1071,19852
"1559",1072,25152
"1560",1073,5034
"1561",1074,4942
"1562",1074,5029
"1563",1075,5129
"1564",1076,5247
"1565",1076,27822
"1566",1077,5342
"1567",1078,29159
"1568",1079,5241
"1569",1079,29131
"1570",1079,29158
"1571",1080,5633
"1572",1080,25169
"1573",1081,5754
"1574",1081,5863
"1575",1081,34413
"1576",1082,40515
"1577",1083,34417
"1578",1084,40516
"1579",1085,31330
"1580",1086,5863
"1581",1086,5997
"1582",1087,5550
"1583",1087,25169
"1584",1088,5644
"1585",1088,5719
"1586",1088,40630
"1587",1089,27905
"1588",1090,27905
"1589",1091,5719
"1590",1092,31372
"1591",1093,6000
"1592",1093,40719
"1593",1094,6000
"1594",1094,31340
"1595",1095,31382
"1596",1096,40367
"1597",1097,6412
"1598",1098,31376
"1599",1099,40517
"1600",1100,6074
"1601",1101,5891
"1602",1102,19158
"1603",1103,5721
"1604",1104,5721
"1605",1105,5741
"1606",1106,5622
"1607",1107,5380
"1608",1108,5380
"1609",1109,5607
"1610",1109,5622
"1611",1110,5607
"1612",1111,40629
"1613",1112,27857
"1614",1112,40628
"1615",1113,4849
"1616",1114,4873
"1617",1115,4933
"1618",1116,5098
"1619",1116,27858
"1620",1117,5166
"1621",1118,5072
"1622",1118,27829
"1623",1119,4933
"1624",1120,18772
"1625",1121,27733
"1626",1122,27620
"1627",1123,27850
"1628",1124,5193
"1629",1125,27869
"1630",1126,27881
"1631",1127,5195
"1632",1127,27881
"1633",1128,5195
"1634",1128,27847
"1635",1129,4995
"1636",1129,27843
"1637",1130,4927
"1638",1130,4995
"1639",1131,4869
"1640",1131,27733
"1641",1132,4770
"1642",1132,4868
"1643",1133,4868
