route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,agency_raw_name,trip_destination,trip_short_name,trip_route_name,pub_dir_id,rm_block_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,stop_distance,stop_is_skipped,arrival_h,arrival_m,departure_h,departure_m,tod,index,trip_num_for_shape,trip_num_total,num_pattern,trip_num_N_most,number_of_stops
766-95,AUG19-MVS-BUS-Weekday-01,15244647-AUG19-MVS-BUS-Weekday-01,Southbound 766  Express / Downtown / Via W River Rd,1,1705,7660010,1.0,MT2019,,,,,,23820.0,23820.0,53016,1,0,0,1,,,6,37,6,37,pk,640,5,7,2,6,70
766-95,AUG19-MVS-BUS-Weekday-01,15244659-AUG19-MVS-BUS-Weekday-01,Northbound 766E  Express / Anoka / W River Rd,0,1143,7660011,1.0,MT2019,,,,,,45420.0,45420.0,49358,1,1,1,1,,,12,37,12,37,op,647,2,3,2,3,80
766-95,AUG19-MVS-BUS-Weekday-01,15244660-AUG19-MVS-BUS-Weekday-01,Southbound 766  Express / Downtown / Via W River Rd,1,1143,7660012,1.0,MT2019,,,,,,48900.0,48900.0,12385,1,0,0,1,,,13,35,13,35,op,645,2,3,2,3,75
766-95,AUG19-MVS-BUS-Weekday-01,15244663-AUG19-MVS-BUS-Weekday-01,Southbound 766  Express / Downtown / Via W River Rd,1,2135,7660013,1.0,MT2019,,,,,,41580.0,41580.0,12385,1,0,0,1,,,11,33,11,33,op,646,1,3,2,3,76
766-95,AUG19-MVS-BUS-Weekday-01,15244665-AUG19-MVS-BUS-Weekday-01,Southbound 766 Downtown / Cartway Rd / Noble-97Av,1,1573,7660002,1.0,MT2019,,,,,,26160.0,26160.0,53016,1,0,0,1,,,7,16,7,16,pk,641,1,7,2,6,87
766-95,AUG19-MVS-BUS-Weekday-01,15244666-AUG19-MVS-BUS-Weekday-01,Northbound 766G Expr/Richardson PR/Via W River Rd,0,2079,7660009,1.0,MT2019,,,,,,52740.0,52740.0,49358,1,1,1,1,,,14,39,14,39,op,648,1,3,2,3,75
6-95,AUG19-MVS-BUS-Weekday-01,15244684-AUG19-MVS-BUS-Weekday-01,Northbound 6U 27Av-Univ / Via Xerxes,0,1194,60011,1.0,MT2019,,,,,,25020.0,25020.0,56554,1,0,0,1,,,6,57,6,57,pk,987,5,21,2,8,93
6-95,AUG19-MVS-BUS-Weekday-01,15244690-AUG19-MVS-BUS-Weekday-01,Northbound 6  Downtown / Via France,0,1174,60007,1.0,MT2019,,,,,,27720.0,27720.0,53703,1,0,0,1,,,7,42,7,42,pk,988,3,21,2,8,65
6-95,AUG19-MVS-BUS-Weekday-01,15244699-AUG19-MVS-BUS-Weekday-01,Northbound 6  Downtown / Via  Xerxes,0,1203,60001,1.0,MT2019,,,,,,48780.0,48780.0,56554,1,0,0,1,,,13,33,13,33,op,995,17,37,2,27,79
6-95,AUG19-MVS-BUS-Weekday-01,15244702-AUG19-MVS-BUS-Weekday-01,Northbound 6U 27Av-Univ / Via France,0,1202,60003,1.0,MT2019,,,,,,52560.0,52560.0,53703,1,0,0,1,,,14,36,14,36,op,996,10,37,2,27,79
6-95,AUG19-MVS-BUS-Weekday-01,15244753-AUG19-MVS-BUS-Weekday-01,Southbound 6D  Southdale/France Av,1,1174,60005,1.0,MT2019,,,,,,23460.0,23460.0,56171,1,0,0,1,,,6,31,6,31,pk,986,5,25,2,12,79
6-95,AUG19-MVS-BUS-Weekday-01,15244758-AUG19-MVS-BUS-Weekday-01,Southbound 6E  Minn Drive / Xerxes Av / Southdale,1,1191,60006,1.0,MT2019,,,,,,33480.0,33480.0,53068,1,0,0,1,,,9,18,9,18,op,993,16,35,2,27,70
