agency_raw_name,trip_id,tod,direction_id,trip_num_for_shape,trip_num_total,trip_num_N_most,headway_secs,start_time,end_time
MT2019,15244666-AUG19-MVS-BUS-Weekday-01,op,0,1,3,3,21600,09:00:00,15:00:00
MT2019,15244684-AUG19-MVS-BUS-Weekday-01,pk,0,5,21,8,822,06:00:00,09:00:00
MT2019,15244690-AUG19-MVS-BUS-Weekday-01,pk,0,3,21,8,1371,06:00:00,09:00:00
MT2019,15244699-AUG19-MVS-BUS-Weekday-01,op,0,17,37,27,927,09:00:00,15:00:00
MT2019,15244702-AUG19-MVS-BUS-Weekday-01,op,0,10,37,27,1576,09:00:00,15:00:00
MT2019,15244753-AUG19-MVS-BUS-Weekday-01,pk,1,5,25,12,1036,06:00:00,09:00:00
MT2019,15244758-AUG19-MVS-BUS-Weekday-01,op,1,16,35,27,1041,09:00:00,15:00:00
MT2019,15244770-AUG19-MVS-BUS-Weekday-01,op,1,11,35,27,1514,09:00:00,15:00:00
MT2019,15244828-AUG19-MVS-BUS-Weekday-01,pk,1,7,25,12,740,06:00:00,09:00:00
MT2019,15244961-AUG19-MVS-BUS-Weekday-01,pk,0,6,6,6,1800,06:00:00,09:00:00
MT2019,15244965-AUG19-MVS-BUS-Weekday-01,op,0,12,12,12,1800,09:00:00,15:00:00
MT2019,15244977-AUG19-MVS-BUS-Weekday-01,pk,1,5,6,6,2160,06:00:00,09:00:00
MT2019,15244999-AUG19-MVS-BUS-Weekday-01,pk,1,1,6,6,10800,06:00:00,09:00:00
MT2019,15245000-AUG19-MVS-BUS-Weekday-01,op,1,12,12,12,1800,09:00:00,15:00:00
MT2019,15245028-AUG19-MVS-BUS-Weekday-01,pk,0,3,7,6,3085,06:00:00,09:00:00
MT2019,15245030-AUG19-MVS-BUS-Weekday-01,pk,0,3,7,6,3085,06:00:00,09:00:00
MT2019,15245033-AUG19-MVS-BUS-Weekday-01,op,0,13,14,14,1661,09:00:00,15:00:00
MT2019,15245058-AUG19-MVS-BUS-Weekday-01,pk,1,9,10,10,1200,06:00:00,09:00:00
MT2019,15245066-AUG19-MVS-BUS-Weekday-01,op,1,9,11,11,2400,09:00:00,15:00:00
MT2019,15245075-AUG19-MVS-BUS-Weekday-01,op,1,2,11,11,10800,09:00:00,15:00:00
MT2019,15245097-AUG19-MVS-BUS-Weekday-01,pk,0,3,8,6,2700,06:00:00,09:00:00
MT2019,15245099-AUG19-MVS-BUS-Weekday-01,op,0,11,12,12,1963,09:00:00,15:00:00
MT2019,15245102-AUG19-MVS-BUS-Weekday-01,op,0,1,12,12,21600,09:00:00,15:00:00
