route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_raw_name
538-95,2,538,Southdale - York Av - Southtown - 86th St - MOA,,3,http://www.metrotransit.org/route/538,,000000,MT2019
539-95,2,539,Southtown - Normandale -Valley West - 98th - MOA,,3,http://www.metrotransit.org/route/539,,000000,MT2019
540-95,2,540,Edina - Richfield - 77th St - MOA,,3,http://www.metrotransit.org/route/540,,000000,MT2019
542-95,2,542,84th St - 76th St - American Blvd - MOA,,3,http://www.metrotransit.org/route/542,,000000,MT2019
552-95,0,552,Express - 12th Av - Bloomington Av - Mpls,,3,http://www.metrotransit.org/route/552,,000000,MT2019
553-95,0,553,Express - Bloomington - Portland Av - Mpls,,3,http://www.metrotransit.org/route/553,,000000,MT2019
554-95,0,554,Express - Bloomington - Nicollet Av - Mpls,,3,http://www.metrotransit.org/route/554,,000000,MT2019
558-95,0,558,Express - Lyndale Av - Penn Av - 66th St - Mpls,,3,http://www.metrotransit.org/route/558,,000000,MT2019
578-95,0,578,Express - Edina - Southdale - Mpls,,3,http://www.metrotransit.org/route/578,,000000,MT2019
579-95,0,579,Express - Southdale - U of M,,3,http://www.metrotransit.org/route/579,,000000,MT2019
587-95,0,587,Express - Edina - Valley View -Vernon - Mpls,,3,http://www.metrotransit.org/route/587,,000000,MT2019
588-95,0,588,Express -  Normandale Lake Offices - Mpls,,3,http://www.metrotransit.org/route/588,,000000,MT2019
589-95,0,589,Express - West Bloomington - Mpls,,3,http://www.metrotransit.org/route/589,,000000,MT2019
597-95,0,597,Express - West Bloomington - Mpls,,3,http://www.metrotransit.org/route/597,,000000,MT2019
600-95,6,600,SW Transit - Flex Route,,3,http://www.metrotransit.org/route/600,,000000,MT2019
602-95,6,602,SW Transit - Flex Route,,3,http://www.metrotransit.org/route/602,,000000,MT2019
604-95,2,604,Louisiana Av - Excelsior Blvd,,3,http://www.metrotransit.org/route/604,,000000,MT2019
612-95,0,612,Uptown - Excelsior Blvd-Hopkins - Hopkins - Opus,,3,http://www.metrotransit.org/route/612,,000000,MT2019
615-95,2,615,Ridgedale - Co Rd 73 - St Louis Park,,3,http://www.metrotransit.org/route/615,,000000,MT2019
643-95,0,643,Ltd Stop - Golden Hills Dr - Cedar Lake Rd - Mpls,,3,http://www.metrotransit.org/route/643,,000000,MT2019
